gm_code,gm_naam,jaar,lbm,afw,fys,onv,soc,vrz,won
GM0766,Dongen,2022,4.106789674958647,0.004524823814961757,-0.0034749227516285646,0.06346084399847418,0.014624017631150413,-0.09533900637762548,0.02525389131459093
GM0770,Eersel,2002,4.165497417829945,0.06323256668625978,NA,NA,NA,NA,NA
GM0770,Eersel,2008,4.153099320472534,0.05083446932884897,NA,NA,NA,NA,NA
GM0770,Eersel,2012,4.171608319380849,0.06934346823716334,NA,NA,NA,NA,NA
GM0770,Eersel,2014,4.185298936006172,0.08303408486248601,0.0013751249275996867,0.08027854159874792,0.06378925874342542,-0.10653987445942328,0.04413103405213596
GM0770,Eersel,2016,4.1718044950760795,0.06953964393239462,NA,NA,NA,NA,NA
GM0770,Eersel,2018,4.189234200589069,0.08696934944538338,0.011645537603811004,0.07145624336901878,0.06198313453794713,-0.10155382978563335,0.04343826372023955
GM0770,Eersel,2020,4.204125331373728,0.1018604802300429,0.009350439033934446,0.08991650119108949,0.05673258056536214,-0.09701192221165165,0.04287288165130822
GM0770,Eersel,2022,4.206156043334865,0.10389119219117883,0.012984031953830012,0.08434070707528174,0.05760937383389514,-0.0967466249424777,0.04570370427064936
GM0772,Eindhoven,2002,4.030658823380966,-0.07160602776271924,NA,NA,NA,NA,NA
GM0772,Eindhoven,2008,4.040174815782101,-0.062090035361583994,NA,NA,NA,NA,NA
GM0772,Eindhoven,2012,4.048818059510981,-0.05344679163270406,NA,NA,NA,NA,NA
GM0772,Eindhoven,2014,4.031013288731621,-0.07125156241206437,-0.027658487350133158,-0.06030587905913547,-0.02366338285609666,0.05614516315349494,-0.0157689763001943
GM0772,Eindhoven,2016,4.046581565716898,-0.055683285426787556,NA,NA,NA,NA,NA
GM0772,Eindhoven,2018,4.056518974448444,-0.045745876695241605,-0.025527858744739822,-0.04384300695757481,-0.02228573952910327,0.06014916328339578,-0.014238434747219768
GM0772,Eindhoven,2020,4.081508832201809,-0.020756018941876078,-0.020524506890078023,-0.04588980235702033,-0.023252630095382937,0.07832089242173562,-0.00940997202113067
GM0772,Eindhoven,2022,4.095385649029986,-0.006879202113699676,-0.015909908357233504,-0.0391786918330965,-0.024145975556206428,0.08087126637836478,-0.008515892745528298
GM0777,Etten-Leur,2002,4.013134299239934,-0.08913055190375105,NA,NA,NA,NA,NA
GM0777,Etten-Leur,2008,4.020783506072091,-0.0814813450715949,NA,NA,NA,NA,NA
GM0777,Etten-Leur,2012,4.034688377203917,-0.0675764739397683,NA,NA,NA,NA,NA
GM0777,Etten-Leur,2014,4.043301023945015,-0.058963827198670035,-0.011678234894758591,-0.014988109656840378,0.007205091117832382,-0.03794889326022709,-0.001553680504676638
GM0777,Etten-Leur,2016,4.0639713364585015,-0.03829351468518369,NA,NA,NA,NA,NA
GM0777,Etten-Leur,2018,4.093046383827616,-0.009218467316068608,-0.00257261540778737,0.003948517804237258,0.0068969716404570875,-0.027373740055839396,0.009882398702863528
GM0777,Etten-Leur,2020,4.103468982169156,0.0012041310254714544,3.604911251865158e-4,0.007023085317191066,0.005231609749372336,-0.020814039697702746,0.00940298453142399
GM0777,Etten-Leur,2022,4.085364812488336,-0.016900038655349066,0.00396738782901034,-0.016716778239453754,0.0019215124474998737,-0.02262982233181306,0.016557661639407254
GM0779,Geertruidenberg,2002,3.9941774349883263,-0.1080874161553586,NA,NA,NA,NA,NA
GM0779,Geertruidenberg,2008,3.9990281176290363,-0.1032367335146492,NA,NA,NA,NA,NA
GM0779,Geertruidenberg,2012,4.033305902720295,-0.06895894842338987,NA,NA,NA,NA,NA
GM0779,Geertruidenberg,2014,4.047069956734607,-0.05519489440907895,-0.019805027679802883,0.004042231102730695,0.00954115389054949,-0.06291908619244638,0.013945834469889831
GM0779,Geertruidenberg,2016,4.081787608576267,-0.02047724256741852,NA,NA,NA,NA,NA
GM0779,Geertruidenberg,2018,4.070828150166183,-0.03143670097750146,-0.020489880864456324,0.01228228079144171,0.004721021255412283,-0.04699568461648734,0.019045562456587947
GM0779,Geertruidenberg,2020,4.075584332002611,-0.02668051914107416,-0.018245275982154814,0.011654509826279823,0.002058459129116792,-0.042578822724949755,0.020430610610633525
GM0779,Geertruidenberg,2022,4.119562041272387,0.017297190128702008,-0.008094113998703814,0.03232465588014277,0.016899374849354654,-0.04956265894863224,0.025729932346540356
GM0784,Gilze en Rijen,2002,4.0282120360580045,-0.07405281508568072,NA,NA,NA,NA,NA
GM0784,Gilze en Rijen,2008,4.026169841349835,-0.07609500979385028,NA,NA,NA,NA,NA
GM0784,Gilze en Rijen,2012,4.055618687052076,-0.04664616409160972,NA,NA,NA,NA,NA
GM0784,Gilze en Rijen,2014,4.024143060512436,-0.07812179063124859,-0.007280117749312341,0.01108535243988359,0.01934540236427413,-0.11156967047636378,0.010297242790269511
GM0784,Gilze en Rijen,2016,4.059111579295645,-0.04315327184804006,NA,NA,NA,NA,NA
GM0784,Gilze en Rijen,2018,4.064478664752947,-0.03778618639073783,-0.0049837271196423874,0.029214683994543175,0.022257452939266714,-0.10436921854638105,0.02009462234147547
GM0784,Gilze en Rijen,2020,4.075107313861907,-0.027157537281778013,-0.0015562596824817533,0.02680022519491537,0.0200360074575224,-0.0903414553752325,0.0179039451234982
