gm_code,gm_naam,jaar_van,jaar_naar,lbm,fys,onv,soc,vrz,won
GM0074,Heerenveen,2016,2022,0.035430359764863084,NA,NA,NA,NA,NA
GM0074,Heerenveen,2018,2020,0.004722145366518049,-0.0041978576436191226,-6.039132193435201e-4,-0.005599145488116679,0.014296894540395608,8.261671772019329e-4
GM0074,Heerenveen,2018,2022,0.032357589916960805,-0.003893348652471741,0.0037316940273842414,5.408032373235491e-4,0.019914893067269387,0.0120635482374556
GM0074,Heerenveen,2020,2022,0.027635444550442756,3.045089911473814e-4,0.0043356072467277615,0.006139948725440228,0.00561799852687378,0.011237381060253668
GM0080,Leeuwarden,2002,2008,0.03583690599337874,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2012,0.03597925478250641,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2014,0.044320491763827796,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2016,0.060352434052034276,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2018,0.0674648243445013,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2020,0.013342115025921863,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2002,2022,0.0838817036531907,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2012,1.4234878912766646e-4,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2014,0.008483585770449054,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2016,0.024515528058655534,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2018,0.03162791835112255,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2020,-0.02249479096745688,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2008,2022,0.048044797659811955,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2012,2014,0.008341236981321387,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2012,2016,0.024373179269527867,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2012,2018,0.031485569561994886,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2012,2020,-0.022637139756584546,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2012,2022,0.04790244887068429,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2014,2016,0.01603194228820648,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2014,2018,0.0231443325806735,-0.0013685970745670704,0.016613562055607344,-7.337365124436362e-4,4.605324124551157e-4,0.008172571699622365
GM0080,Leeuwarden,2014,2020,-0.030978376737905933,-0.005570538560816796,0.017522097651323603,1.448377338476635e-4,-0.03176090026146011,-0.011313873300799863
GM0080,Leeuwarden,2014,2022,0.0395612118893629,-0.0070012641180653805,0.019021245727670305,-0.002301827903366056,0.010306581402161612,0.01953647678096301
GM0080,Leeuwarden,2016,2018,0.007112390292467019,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2016,2020,-0.04701031902611241,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2016,2022,0.023529269601156422,NA,NA,NA,NA,NA
GM0080,Leeuwarden,2018,2020,-0.05412270931857943,-0.004201941486249725,9.085355957162596e-4,8.785742462912997e-4,-0.03222143267391523,-0.01948644500042223
