"ID";"RegioS";"Perioden";"GemiddeldeVerkoopprijs_1"
"959";"GM0741";"1997JJ00";""
"960";"GM0741";"1998JJ00";""
"961";"GM0741";"1999JJ00";""
"962";"GM0741";"2000JJ00";""
"963";"GM0741";"2001JJ00";""
"964";"GM0741";"2002JJ00";""
"965";"GM0741";"2003JJ00";""
"966";"GM0741";"2004JJ00";""
"967";"GM0741";"2005JJ00";""
"968";"GM0741";"2006JJ00";""
"969";"GM0741";"2007JJ00";""
"970";"GM0741";"2008JJ00";""
"971";"GM0741";"2009JJ00";""
"972";"GM0741";"2010JJ00";""
"973";"GM0741";"2011JJ00";""
"974";"GM0741";"2012JJ00";""
"975";"GM0741";"2013JJ00";""
"976";"GM0741";"2014JJ00";""
"977";"GM0741";"2015JJ00";""
"978";"GM0741";"2016JJ00";""
"979";"GM0741";"2017JJ00";""
"980";"GM0741";"2018JJ00";""
"981";"GM0741";"2019JJ00";""
"982";"GM0741";"2020JJ00";""
"983";"GM0741";"2021JJ00";""
"984";"GM0741";"2022JJ00";""
"985";"GM0741";"2023JJ00";""
"986";"GM1723";"1995JJ00";""
"987";"GM1723";"1996JJ00";""
"988";"GM1723";"1997JJ00";"  143765"
"989";"GM1723";"1998JJ00";"  176845"
"990";"GM1723";"1999JJ00";"  212194"
"991";"GM1723";"2000JJ00";"  279094"
"992";"GM1723";"2001JJ00";"  263608"
"993";"GM1723";"2002JJ00";"  270206"
"994";"GM1723";"2003JJ00";"  304739"
"995";"GM1723";"2004JJ00";"  300297"
"996";"GM1723";"2005JJ00";"  291493"
"997";"GM1723";"2006JJ00";"  355564"
"998";"GM1723";"2007JJ00";"  365341"
"999";"GM1723";"2008JJ00";"  326592"
"1000";"GM1723";"2009JJ00";"  332111"
"1001";"GM1723";"2010JJ00";"  297254"
"1002";"GM1723";"2011JJ00";"  292151"
"1003";"GM1723";"2012JJ00";"  277341"
"1004";"GM1723";"2013JJ00";"  279286"
"1005";"GM1723";"2014JJ00";"  276898"
"1006";"GM1723";"2015JJ00";"  299679"
"1007";"GM1723";"2016JJ00";"  291149"
"1008";"GM1723";"2017JJ00";"  315979"
"1009";"GM1723";"2018JJ00";"  345480"
"1010";"GM1723";"2019JJ00";"  347848"
"1011";"GM1723";"2020JJ00";"  390439"
"1012";"GM1723";"2021JJ00";"  466144"
"1013";"GM1723";"2022JJ00";"  525868"
"1014";"GM1723";"2023JJ00";"  461830"
"1015";"GM1959";"1995JJ00";""
"1016";"GM1959";"1996JJ00";""
"1017";"GM1959";"1997JJ00";""
"1018";"GM1959";"1998JJ00";""
"1019";"GM1959";"1999JJ00";""
"1020";"GM1959";"2000JJ00";""
"1021";"GM1959";"2001JJ00";""
"1022";"GM1959";"2002JJ00";""
"1023";"GM1959";"2003JJ00";""
"1024";"GM1959";"2004JJ00";""
"1025";"GM1959";"2005JJ00";""
"1026";"GM1959";"2006JJ00";""
"1027";"GM1959";"2007JJ00";""
"1028";"GM1959";"2008JJ00";""
"1029";"GM1959";"2009JJ00";""
"1030";"GM1959";"2010JJ00";""
"1031";"GM1959";"2011JJ00";""
"1032";"GM1959";"2012JJ00";""
"1033";"GM1959";"2013JJ00";""
"1034";"GM1959";"2014JJ00";""
"1035";"GM1959";"2015JJ00";""
"1036";"GM1959";"2016JJ00";""
"1037";"GM1959";"2017JJ00";""
"1038";"GM1959";"2018JJ00";""
"1039";"GM1959";"2019JJ00";"  291448"
"1040";"GM1959";"2020JJ00";"  319849"
"1041";"GM1959";"2021JJ00";"  357769"
"1042";"GM1959";"2022JJ00";"  402772"
"1043";"GM1959";"2023JJ00";"  404703"
"1044";"GM0142";"1995JJ00";"   97156"
"1045";"GM0142";"1996JJ00";"  127351"
"1046";"GM0142";"1997JJ00";"  141375"
"1047";"GM0142";"1998JJ00";"  148104"
"1048";"GM0142";"1999JJ00";"  135718"
"1049";"GM0142";"2000JJ00";"  208892"
"1050";"GM0142";"2001JJ00";""
"1051";"GM0142";"2002JJ00";""
"1052";"GM0142";"2003JJ00";""
"1053";"GM0142";"2004JJ00";""
"1054";"GM0142";"2005JJ00";""
"1055";"GM0142";"2006JJ00";""
"1056";"GM0142";"2007JJ00";""
"1057";"GM0142";"2008JJ00";""
"1058";"GM0142";"2009JJ00";""
"1059";"GM0142";"2010JJ00";""
"1060";"GM0142";"2011JJ00";""
"1061";"GM0142";"2012JJ00";""
"1062";"GM0142";"2013JJ00";""
"1063";"GM0142";"2014JJ00";""
"1064";"GM0142";"2015JJ00";""
"1065";"GM0142";"2016JJ00";""
"1066";"GM0142";"2017JJ00";""
"1067";"GM0142";"2018JJ00";""
"1068";"GM0142";"2019JJ00";""
"1069";"GM0142";"2020JJ00";""
"1070";"GM0142";"2021JJ00";""
"1071";"GM0142";"2022JJ00";""
