,2019,2020,2021,2022,2023,2024**
De Ronde Venen,402,436,461,508,595,593
Roosendaal,258,272,288,310,348,359
Rotterdam,263,299,330,364,420,441
Rozendaal,512,556,596,649,787,806
Rucphen,309,322,339,364,406,426
Schagen,279,298,313,349,392,402
Scherpenzeel,302,326,344,383,428,461
Schiedam,216,247,277,309,356,370
Schiermonnikoog,281,294,329,389,449,474
Schouwen-Duiveland,290,302,321,348,394,442
Simpelveld,211,234,247,256,303,304
Sint Anthonis,327,345,348,,,
Sint-Michielsgestel,357,379,402,441,515,520
Sittard-Geleen,217,235,250,265,307,307
Sliedrecht,246,266,290,308,363,377
Sluis,235,247,265,295,333,356
Smallingerland,219,236,256,285,337,350
Soest,384,408,434,469,517,552
Someren,328,353,364,401,445,465
Son en Breugel,363,388,415,446,508,544
Stadskanaal,195,208,222,246,288,313
Staphorst,295,301,318,346,381,392
Stede Broec,244,270,292,325,393,404
Steenbergen,251,267,283,320,367,390
Steenwijkerland,262,272,290,319,365,381
Stein (L.),229,246,261,272,320,325
Stichtse Vecht,374,399,423,453,524,534
Súdwest-Fryslân,243,255,269,295,338,353
Terneuzen,200,212,225,244,275,283
Terschelling,350,361,376,431,471,491
Texel,313,332,352,378,422,451
Teylingen,369,399,428,467,530,535
Tholen,221,229,240,257,291,322
Tiel,254,273,290,318,381,416
Tilburg,264,285,310,339,394,412
Tubbergen,321,337,356,401,447,476
Twenterand,257,272,291,323,379,392
Tynaarlo,300,319,343,381,439,459
Tytsjerksteradiel,231,243,257,283,320,335
Uden,308,336,342,,,
Uitgeest,324,350,374,407,500,496
Uithoorn,332,362,386,420,490,497
Urk,236,255,277,314,352,370
Utrecht (gemeente),374,412,444,487,574,563
Utrechtse Heuvelrug,425,446,472,507,585,602
Vaals,224,240,252,273,319,321
Valkenburg aan de Geul,264,282,313,331,385,387
Valkenswaard,316,335,356,390,432,456
Veendam,171,181,193,212,251,268
Veenendaal,286,311,335,365,451,468
Veere,299,313,333,360,411,465
Veldhoven,343,369,400,435,513,531
Velsen,331,360,386,431,490,492
Venlo,240,260,274,290,344,348
Venray,267,282,297,322,365,380
Vijfheerenlanden,296,313,334,388,447,458
Vlaardingen,233,255,278,307,349,367
Vlieland,332,358,392,418,493,505
Vlissingen,197,208,226,247,286,305
Voerendaal,266,286,299,319,371,370
Voorne aan Zee,,,,,424,447
Voorschoten,404,436,461,505,579,596
Voorst,349,373,391,419,503,527
Vught,449,481,496,532,603,636
Waadhoeke,197,209,219,239,281,296
Waalre,378,403,442,481,556,583
Waalwijk,280,299,321,349,405,414
Waddinxveen,280,310,330,372,430,452
Wageningen,328,353,382,433,509,519
Wassenaar,722,762,789,835,918,916
Waterland,387,416,436,471,521,530
Weert,276,296,308,317,380,387
Weesp,353,422,453,486,,
West Betuwe,318,337,360,396,461,487
West Maas en Waal,287,314,337,370,438,452
Westerkwartier,245,258,272,300,348,345
Westerveld,303,321,339,365,419,437
Westervoort,234,255,275,306,363,373
Westerwolde,208,215,239,274,313,333
Westland,332,359,386,424,481,506
Weststellingwerf,242,257,282,308,355,367
Westvoorne,380,415,448,493,,
Wierden,293,310,333,378,424,466
Wijchen,283,301,323,362,406,425
Wijdemeren,430,463,495,551,612,641
Wijk bij Duurstede,310,332,360,397,466,489
Winterswijk,226,242,259,289,327,342
Woensdrecht,275,290,309,325,367,381
Woerden,333,360,383,414,476,486
De Wolden,302,317,334,371,431,452
Wormerland,312,350,379,411,490,496
Woudenberg,344,367,401,441,525,546
Zaanstad,272,304,333,368,431,459
Zaltbommel,294,311,333,370,417,435
Zandvoort,394,448,488,529,587,579
Zeewolde,310,323,341,371,441,468
Zeist,471,507,536,586,684,700
Zevenaar,241,259,279,313,356,376
Zoetermeer,266,292,310,350,423,429
Zoeterwoude,351,382,405,447,502,524
Zuidplas,318,342,365,403,480,502
Zundert,316,333,348,388,443,472
Zutphen,246,266,285,313,382,396
Zwartewaterland,245,255,270,299,338,357
Zwijndrecht,240,266,292,316,371,385
Zwolle,295,318,342,374,429,443
