"ID";"LeeftijdReferentiepersoon";"RegioS";"Perioden";"TotaalParticuliereHuishoudens_21"
"1636";"10000";"GM0482";"2011JJ00";"7727"
"1637";"10000";"GM0482";"2012JJ00";"7856"
"1638";"10000";"GM0482";"2013JJ00";"7942"
"1639";"10000";"GM0482";"2014JJ00";"7967"
"1640";"10000";"GM0482";"2015JJ00";"7983"
"1641";"10000";"GM0482";"2016JJ00";"8044"
"1642";"10000";"GM0482";"2017JJ00";"8076"
"1643";"10000";"GM0482";"2018JJ00";"8124"
"1644";"10000";"GM0482";"2019JJ00";"8166"
"1645";"10000";"GM0482";"2020JJ00";"8236"
"1646";"10000";"GM0482";"2021JJ00";"8246"
"1647";"10000";"GM0482";"2022JJ00";"8274"
"1648";"10000";"GM0482";"2023JJ00";"8484"
"1649";"10000";"GM0482";"2024JJ00";"8510"
"1650";"10000";"GM0613";"2000JJ00";"6311"
"1651";"10000";"GM0613";"2001JJ00";"6841"
"1652";"10000";"GM0613";"2002JJ00";"6992"
"1653";"10000";"GM0613";"2003JJ00";"7240"
"1654";"10000";"GM0613";"2004JJ00";"7620"
"1655";"10000";"GM0613";"2005JJ00";"8036"
"1656";"10000";"GM0613";"2006JJ00";"8246"
"1657";"10000";"GM0613";"2007JJ00";"8415"
"1658";"10000";"GM0613";"2008JJ00";"8808"
"1659";"10000";"GM0613";"2009JJ00";"8958"
"1660";"10000";"GM0613";"2010JJ00";"9465"
"1661";"10000";"GM0613";"2011JJ00";"9718"
"1662";"10000";"GM0613";"2012JJ00";"9874"
"1663";"10000";"GM0613";"2013JJ00";"9948"
"1664";"10000";"GM0613";"2014JJ00";"9953"
"1665";"10000";"GM0613";"2015JJ00";"10016"
"1666";"10000";"GM0613";"2016JJ00";"10022"
"1667";"10000";"GM0613";"2017JJ00";"10087"
"1668";"10000";"GM0613";"2018JJ00";"10123"
"1669";"10000";"GM0613";"2019JJ00";"10180"
"1670";"10000";"GM0613";"2020JJ00";"10508"
"1671";"10000";"GM0613";"2021JJ00";"10357"
"1672";"10000";"GM0613";"2022JJ00";"10459"
"1673";"10000";"GM0613";"2023JJ00";"10610"
"1674";"10000";"GM0613";"2024JJ00";"10644"
