"ID";"EigenaarHuurder";"HuishoudensEnWoningkenmerken";"RegioS";"Perioden";"TotaleWoonlasten_2";"Woonquote_5"
"61644";"A025403";"T001139";"GM0106";"2022JJ00";"     771";"    18.5"
"61645";"A025403";"T001139";"GM0743";"2018JJ00";"     904";"    23.4"
"61646";"A025403";"T001139";"GM0743";"2019JJ00";"     897";"    22.7"
"61647";"A025403";"T001139";"GM0743";"2020JJ00";"     892";"    21.7"
"61648";"A025403";"T001139";"GM0743";"2021JJ00";"     921";"    21.5"
"61649";"A025403";"T001139";"GM0743";"2022JJ00";"     871";"    19.5"
"61650";"A025403";"T001139";"GM0744";"2018JJ00";"     834";"    23.0"
"61651";"A025403";"T001139";"GM0744";"2019JJ00";"     863";"    22.3"
"61652";"A025403";"T001139";"GM0744";"2020JJ00";"     849";"    21.7"
"61653";"A025403";"T001139";"GM0744";"2021JJ00";"     846";"    20.8"
"61654";"A025403";"T001139";"GM0744";"2022JJ00";"     809";"    19.0"
"61655";"A025403";"T001139";"GM0308";"2018JJ00";"    1014";"    22.8"
"61656";"A025403";"T001139";"GM0308";"2019JJ00";"    1038";"    22.3"
"61657";"A025403";"T001139";"GM0308";"2020JJ00";"    1024";"    21.6"
"61658";"A025403";"T001139";"GM0308";"2021JJ00";"    1022";"    21.2"
"61659";"A025403";"T001139";"GM0308";"2022JJ00";"     954";"    19.1"
"61660";"A025403";"T001139";"GM0489";"2018JJ00";"    1017";"    22.5"
"61661";"A025403";"T001139";"GM0489";"2019JJ00";"    1049";"    21.9"
"61662";"A025403";"T001139";"GM0489";"2020JJ00";"    1036";"    21.1"
"61663";"A025403";"T001139";"GM0489";"2021JJ00";"    1051";"    20.7"
"61664";"A025403";"T001139";"GM0489";"2022JJ00";"     953";"    18.1"
"61665";"A025403";"T001139";"GM0203";"2018JJ00";"     925";"    22.7"
"61666";"A025403";"T001139";"GM0203";"2019JJ00";"     944";"    22.2"
"61667";"A025403";"T001139";"GM0203";"2020JJ00";"     929";"    21.1"
"61668";"A025403";"T001139";"GM0203";"2021JJ00";"     929";"    20.5"
"61669";"A025403";"T001139";"GM0203";"2022JJ00";"     859";"    18.1"
"61670";"A025403";"T001139";"GM0005";"2018JJ00";"     767";"    21.9"
"61671";"A025403";"T001139";"GM0005";"2019JJ00";"";"       ."
"61672";"A025403";"T001139";"GM0005";"2020JJ00";"";"       ."
"61673";"A025403";"T001139";"GM0005";"2021JJ00";"";"       ."
"61674";"A025403";"T001139";"GM0005";"2022JJ00";"";"       ."
"61675";"A025403";"T001139";"GM0888";"2018JJ00";"     818";"    22.0"
"61676";"A025403";"T001139";"GM0888";"2019JJ00";"     836";"    21.7"
"61677";"A025403";"T001139";"GM0888";"2020JJ00";"     831";"    20.8"
"61678";"A025403";"T001139";"GM0888";"2021JJ00";"     854";"    20.9"
"61679";"A025403";"T001139";"GM0888";"2022JJ00";"     809";"    19.1"
"61680";"A025403";"T001139";"GM1954";"2018JJ00";"";"       ."
"61681";"A025403";"T001139";"GM1954";"2019JJ00";"     852";"    22.4"
"61682";"A025403";"T001139";"GM1954";"2020JJ00";"     842";"    21.4"
"61683";"A025403";"T001139";"GM1954";"2021JJ00";"     880";"    21.6"
"61684";"A025403";"T001139";"GM1954";"2022JJ00";"     831";"    19.7"
"61685";"A025403";"T001139";"GM0370";"2018JJ00";"    1040";"    23.7"
"61686";"A025403";"T001139";"GM0370";"2019JJ00";"    1057";"    22.6"
"61687";"A025403";"T001139";"GM0370";"2020JJ00";"    1079";"    22.2"
"61688";"A025403";"T001139";"GM0370";"2021JJ00";"    1104";"    22.0"
"61689";"A025403";"T001139";"GM0370";"2022JJ00";"";"       ."
"61690";"A025403";"T001139";"GM0889";"2018JJ00";"     806";"    22.3"
"61691";"A025403";"T001139";"GM0889";"2019JJ00";"     808";"    21.7"
"61692";"A025403";"T001139";"GM0889";"2020JJ00";"     806";"    20.6"
"61693";"A025403";"T001139";"GM0889";"2021JJ00";"     821";"    20.6"
"61694";"A025403";"T001139";"GM0889";"2022JJ00";"     780";"    18.9"
"61695";"A025403";"T001139";"GM1945";"2018JJ00";"     890";"    22.6"
"61696";"A025403";"T001139";"GM1945";"2019JJ00";"     900";"    22.1"
"61697";"A025403";"T001139";"GM1945";"2020JJ00";"     898";"    21.0"
"61698";"A025403";"T001139";"GM1945";"2021JJ00";"     905";"    20.7"
"61699";"A025403";"T001139";"GM1945";"2022JJ00";"     857";"    18.9"
"61700";"A025403";"T001139";"GM0491";"2018JJ00";"";"       ."
"61701";"A025403";"T001139";"GM0491";"2019JJ00";"";"       ."
"61702";"A025403";"T001139";"GM0491";"2020JJ00";"";"       ."
"61703";"A025403";"T001139";"GM0491";"2021JJ00";"";"       ."
"61704";"A025403";"T001139";"GM0491";"2022JJ00";"";"       ."
"61705";"A025403";"T001139";"GM1724";"2018JJ00";"     903";"    23.0"
"61706";"A025403";"T001139";"GM1724";"2019JJ00";"     910";"    22.3"
"61707";"A025403";"T001139";"GM1724";"2020JJ00";"     878";"    21.3"
"61708";"A025403";"T001139";"GM1724";"2021JJ00";"     905";"    20.9"
"61709";"A025403";"T001139";"GM1724";"2022JJ00";"     851";"    19.0"
"61710";"A025403";"T001139";"GM0893";"2018JJ00";"     820";"    22.6"
"61711";"A025403";"T001139";"GM0893";"2019JJ00";"     833";"    22.2"
"61712";"A025403";"T001139";"GM0893";"2020JJ00";"     830";"    21.4"
"61713";"A025403";"T001139";"GM0893";"2021JJ00";"     835";"    20.8"
"61714";"A025403";"T001139";"GM0893";"2022JJ00";"     820";"    19.4"
"61715";"A025403";"T001139";"GM0373";"2018JJ00";"     994";"    24.0"
"61716";"A025403";"T001139";"GM0373";"2019JJ00";"     998";"    23.2"
"61717";"A025403";"T001139";"GM0373";"2020JJ00";"     977";"    22.3"
"61718";"A025403";"T001139";"GM0373";"2021JJ00";"     994";"    22.1"
"61719";"A025403";"T001139";"GM0373";"2022JJ00";"     912";"    20.0"
"61720";"A025403";"T001139";"GM0748";"2018JJ00";"     866";"    22.7"
"61721";"A025403";"T001139";"GM0748";"2019JJ00";"     888";"    22.2"
"61722";"A025403";"T001139";"GM0748";"2020JJ00";"     863";"    20.9"
"61723";"A025403";"T001139";"GM0748";"2021JJ00";"     890";"    20.8"
"61724";"A025403";"T001139";"GM0748";"2022JJ00";"     824";"    18.7"
"61725";"A025403";"T001139";"GM1859";"2018JJ00";"     817";"    22.9"
"61726";"A025403";"T001139";"GM1859";"2019JJ00";"     838";"    22.3"
"61727";"A025403";"T001139";"GM1859";"2020JJ00";"     824";"    21.3"
"61728";"A025403";"T001139";"GM1859";"2021JJ00";"     845";"    21.1"
"61729";"A025403";"T001139";"GM1859";"2022JJ00";"     794";"    18.9"
"61730";"A025403";"T001139";"GM1721";"2018JJ00";"     885";"    21.8"
"61731";"A025403";"T001139";"GM1721";"2019JJ00";"     894";"    21.3"
"61732";"A025403";"T001139";"GM1721";"2020JJ00";"     891";"    20.3"
"61733";"A025403";"T001139";"GM1721";"2021JJ00";"     931";"    20.3"
"61734";"A025403";"T001139";"GM1721";"2022JJ00";"     867";"    18.4"
"61735";"A025403";"T001139";"GM0753";"2018JJ00";"     911";"    21.9"
"61736";"A025403";"T001139";"GM0753";"2019JJ00";"     931";"    21.4"
